iter	Passed	Remaining
418	2594	9790
419	2601	9784
420	2607	9779
421	2613	9773
422	2619	9766
423	2626	9763
424	2632	9757
425	2639	9750
426	2645	9744
427	2651	9737
428	2657	9731
429	2663	9725
430	2669	9717
431	2675	9712
432	2681	9705
433	2688	9699
434	2694	9692
435	2700	9688
436	2707	9683
437	2713	9677
438	2719	9670
439	2725	9663
440	2731	9657
441	2738	9651
442	2744	9645
443	2750	9639
444	2756	9633
445	2762	9626
446	2768	9619
447	2774	9610
448	2780	9604
449	2787	9600
450	2793	9594
451	2799	9587
452	2805	9580
453	2811	9575
454	2817	9567
455	2823	9560
456	2829	9553
457	2835	9547
458	2841	9540
459	2847	9533
460	2853	9527
461	2859	9520
462	2866	9514
463	2872	9507
464	2877	9500
465	2883	9493
466	2890	9488
467	2896	9481
468	2903	9477
469	2909	9470
470	2914	9462
471	2920	9454
472	2926	9448
473	2933	9443
474	2939	9436
475	2945	9430
476	2951	9423
477	2958	9418
478	2964	9413
479	2970	9406
480	2976	9399
481	2983	9395
482	2989	9389
483	2995	9383
484	3002	9378
485	3008	9372
486	3014	9366
487	3020	9359
488	3026	9352
489	3032	9345
490	3039	9340
491	3045	9333
492	3051	9328
493	3058	9323
494	3064	9316
495	3070	9310
496	3076	9302
497	3082	9296
498	3088	9290
499	3094	9283
500	3101	9278
501	3106	9270
502	3112	9264
503	3118	9257
504	3124	9250
505	3130	9244
506	3136	9236
507	3142	9229
508	3148	9224
509	3155	9217
510	3161	9213
511	3168	9207
512	3175	9205
513	3182	9200
514	3188	9194
515	3194	9187
516	3200	9180
517	3206	9173
518	3212	9166
519	3218	9160
520	3224	9154
521	3230	9147
522	3237	9142
523	3243	9135
524	3249	9129
525	3255	9122
526	3261	9115
527	3267	9108
528	3272	9101
529	3279	9097
530	3286	9090
531	3292	9084
532	3298	9078
533	3304	9071
534	3310	9066
535	3316	9058
536	3322	9052
537	3329	9046
538	3335	9040
539	3342	9035
540	3347	9028
541	3353	9021
542	3360	9017
543	3366	9010
544	3372	9003
545	3378	8997
546	3384	8990
547	3390	8983
548	3396	8977
549	3402	8971
550	3408	8964
551	3414	8958
552	3420	8951
553	3427	8945
554	3433	8938
555	3438	8930
556	3445	8925
557	3451	8920
558	3458	8915
559	3464	8909
560	3471	8903
561	3476	8896
562	3483	8890
563	3489	8884
564	3495	8878
565	3501	8872
566	3508	8866
567	3514	8859
568	3519	8852
569	3526	8846
570	3532	8839
571	3538	8833
572	3544	8826
573	3550	8820
574	3556	8813
575	3562	8807
576	3568	8800
577	3574	8793
578	3580	8787
579	3586	8781
580	3593	8776
581	3599	8769
582	3605	8762
583	3611	8756
584	3617	8749
585	3623	8743
586	3629	8737
587	3635	8731
588	3642	8725
589	3648	8718
590	3655	8714
591	3661	8708
592	3668	8703
593	3673	8696
594	3679	8689
595	3685	8682
596	3691	8675
597	3697	8669
598	3704	8663
599	3710	8657
600	3717	8653
601	3723	8646
602	3729	8640
603	3735	8634
604	3742	8628
605	3748	8621
606	3753	8614
607	3759	8608
608	3766	8602
609	3773	8598
610	3780	8593
611	3786	8587
612	3792	8581
613	3798	8575
614	3804	8567
615	3810	8561
616	3817	8556
617	3823	8550
618	3829	8543
619	3835	8536
620	3841	8531
621	3848	8525
622	3854	8519
623	3860	8512
624	3866	8506
625	3872	8499
626	3878	8492
627	3884	8486
628	3890	8480
629	3896	8473
630	3903	8467
631	3908	8461
632	3914	8454
633	3920	8446
634	3926	8439
635	3932	8433
636	3938	8427
637	3944	8420
638	3950	8414
639	3957	8409
640	3963	8403
641	3970	8398
642	3976	8392
643	3983	8387
644	3989	8380
645	3995	8374
646	4001	8368
647	4008	8362
648	4014	8356
649	4020	8350
650	4026	8343
651	4032	8337
652	4038	8331
653	4044	8324
654	4051	8319
655	4057	8313
656	4064	8308
657	4070	8302
658	4076	8296
659	4082	8289
660	4089	8283
661	4095	8276
662	4102	8272
663	4108	8266
664	4114	8259
665	4120	8252
666	4126	8246
667	4132	8240
668	4138	8234
669	4144	8227
670	4151	8221
671	4157	8215
672	4163	8208
673	4169	8202
674	4175	8196
675	4181	8190
676	4187	8183
677	4193	8176
678	4199	8170
679	4205	8163
680	4211	8157
681	4217	8150
682	4223	8144
683	4229	8138
684	4236	8132
685	4242	8127
686	4249	8121
687	4255	8115
688	4261	8108
689	4267	8102
690	4274	8097
691	4281	8091
692	4287	8085
693	4293	8079
694	4299	8072
695	4305	8065
696	4311	8059
697	4317	8053
698	4323	8047
699	4329	8040
700	4335	8034
701	4341	8026
702	4346	8019
703	4353	8013
704	4359	8007
705	4365	8001
706	4371	7995
707	4378	7989
708	4384	7983
709	4390	7977
710	4396	7971
711	4402	7964
712	4408	7957
713	4414	7951
714	4421	7945
715	4427	7939
716	4433	7933
717	4439	7926
718	4445	7920
719	4451	7913
720	4458	7909
721	4465	7903
722	4471	7897
723	4477	7890
724	4484	7885
725	4490	7879
726	4496	7872
727	4501	7865
728	4507	7859
729	4513	7852
730	4519	7846
731	4526	7841
732	4532	7835
733	4538	7828
734	4544	7822
735	4550	7815
736	4556	7809
737	4563	7802
738	4569	7796
739	4575	7790
740	4581	7784
741	4588	7779
742	4594	7773
743	4600	7766
744	4606	7760
745	4613	7754
746	4619	7748
747	4625	7741
748	4631	7735
749	4637	7729
750	4644	7723
751	4649	7716
752	4656	7710
753	4662	7704
754	4668	7698
755	4674	7691
756	4680	7685
757	4686	7679
758	4693	7673
759	4699	7666
760	4704	7659
761	4710	7653
762	4716	7646
763	4722	7640
764	4728	7633
765	4734	7627
766	4741	7621
767	4747	7615
768	4753	7609
769	4759	7603
770	4765	7596
771	4771	7590
772	4777	7583
773	4783	7576
774	4789	7570
775	4795	7563
776	4801	7557
777	4807	7550
778	4813	7544
779	4819	7537
780	4825	7531
781	4831	7524
782	4836	7517
783	4842	7510
784	4848	7504
785	4854	7497
786	4860	7491
787	4866	7484
788	4872	7478
789	4878	7472
790	4884	7466
791	4891	7460
792	4897	7454
793	4903	7448
794	4909	7441
795	4915	7435
796	4921	7428
797	4927	7422
798	4934	7416
799	4940	7410
800	4946	7403
801	4952	7397
802	4958	7390
803	4963	7384
804	4970	7378
805	4976	7372
806	4982	7366
807	4988	7359
808	4995	7353
809	5001	7348
810	5007	7341
811	5014	7335
812	5021	7331
813	5027	7325
814	5033	7318
815	5039	7312
816	5046	7306
817	5052	7300
818	5058	7294
819	5064	7288
820	5071	7282
821	5077	7276
822	5083	7269
823	5089	7263
824	5095	7257
825	5101	7250
826	5107	7244
827	5114	7238
828	5120	7232
829	5126	7226
830	5132	7219
831	5138	7213
832	5143	7206
833	5150	7200
834	5156	7194
835	5162	7187
836	5167	7180
837	5174	7174
838	5179	7167
839	5186	7161
840	5192	7155
841	5198	7148
842	5204	7143
843	5210	7136
844	5217	7131
845	5223	7125
846	5230	7119
847	5236	7113
848	5242	7106
849	5248	7101
850	5254	7094
851	5260	7088
852	5266	7082
853	5273	7076
854	5279	7069
855	5285	7063
856	5291	7057
857	5297	7050
858	5303	7043
859	5309	7037
860	5315	7032
861	5321	7025
862	5328	7019
863	5334	7013
864	5340	7007
865	5346	7001
866	5353	6995
867	5359	6989
868	5365	6983
869	5371	6977
870	5377	6970
871	5383	6964
872	5389	6958
873	5395	6951
874	5402	6946
875	5408	6939
876	5415	6934
877	5422	6929
878	5428	6922
879	5434	6916
880	5440	6909
881	5446	6903
882	5453	6898
883	5459	6892
884	5466	6886
885	5472	6881
886	5479	6875
887	5484	6868
888	5490	6862
889	5496	6855
890	5502	6848
891	5508	6842
892	5514	6836
893	5520	6829
894	5526	6823
895	5532	6817
896	5539	6811
897	5545	6804
898	5551	6798
899	5557	6792
900	5564	6786
901	5570	6781
902	5576	6775
903	5582	6768
904	5589	6762
905	5595	6756
906	5601	6750
907	5607	6744
908	5613	6737
909	5620	6731
910	5626	6725
911	5632	6720
912	5638	6713
913	5645	6707
914	5651	6700
915	5657	6694
916	5663	6689
917	5670	6683
918	5676	6677
919	5683	6671
920	5689	6665
921	5695	6658
922	5701	6652
923	5707	6646
924	5713	6640
925	5720	6634
926	5726	6628
927	5732	6622
928	5739	6616
929	5745	6610
930	5751	6604
931	5757	6597
932	5763	6591
933	5769	6584
934	5775	6578
935	5781	6571
936	5787	6565
937	5794	6560
938	5800	6554
939	5806	6547
940	5812	6541
941	5818	6535
942	5824	6529
943	5831	6523
944	5837	6517
945	5843	6510
946	5849	6504
947	5855	6497
948	5861	6491
949	5867	6484
950	5873	6478
951	5879	6472
952	5885	6465
953	5891	6459
954	5897	6452
955	5903	6447
956	5909	6440
957	5915	6434
958	5921	6428
959	5927	6421
960	5933	6414
961	5940	6409
962	5946	6403
963	5952	6397
964	5958	6390
965	5964	6384
966	5971	6379
967	5977	6372
968	5984	6367
969	5989	6360
970	5995	6354
971	6001	6347
972	6007	6341
973	6013	6334
974	6019	6328
975	6026	6322
976	6032	6316
977	6038	6309
978	6044	6303
979	6050	6297
980	6056	6291
981	6063	6285
982	6069	6279
983	6075	6273
984	6081	6266
985	6087	6260
986	6093	6254
987	6100	6248
988	6105	6241
989	6112	6235
990	6117	6229
991	6124	6223
992	6130	6216
993	6135	6209
994	6141	6203
995	6147	6197
996	6153	6190
997	6159	6184
998	6166	6178
999	6172	6172
1000	6178	6166
1001	6184	6160
1002	6190	6153
1003	6196	6147
1004	6202	6141
1005	6209	6135
1006	6215	6128
1007	6220	6122
1008	6226	6115
1009	6232	6109
1010	6238	6103
1011	6244	6096
1012	6250	6090
1013	6256	6083
1014	6263	6077
1015	6268	6071
1016	6274	6064
1017	6280	6058
1018	6287	6052
1019	6294	6047
1020	6300	6040
1021	6306	6034
1022	6312	6028
1023	6318	6022
1024	6327	6018
1025	6333	6012
1026	6339	6006
1027	6345	6000
1028	6351	5993
1029	6357	5987
1030	6364	5981
1031	6370	5975
1032	6376	5969
1033	6382	5963
1034	6388	5956
1035	6395	5951
1036	6401	5944
1037	6408	5939
1038	6414	5932
1039	6420	5926
1040	6426	5920
1041	6433	5914
1042	6439	5908
1043	6445	5902
1044	6452	5896
1045	6458	5890
1046	6464	5883
1047	6470	5877
1048	6477	5872
1049	6483	5866
1050	6489	5859
1051	6495	5853
1052	6502	5848
1053	6508	5842
1054	6515	5835
1055	6521	5829
1056	6527	5823
1057	6533	5816
1058	6539	5810
1059	6545	5804
1060	6552	5798
1061	6558	5792
1062	6564	5786
1063	6570	5780
1064	6576	5773
1065	6582	5767
1066	6588	5760
1067	6593	5754
1068	6599	5747
1069	6605	5741
1070	6611	5735
1071	6617	5728
1072	6623	5722
1073	6629	5715
1074	6635	5709
1075	6642	5703
1076	6648	5697
1077	6654	5691
1078	6660	5685
