일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2016/12/29","2026.46","1.97","0.10","2020.42","2026.57","2016.25","264522.0","3009199.0","1.308440374E9"
"2016/12/28","2024.49","-17.68","-0.87","2021.86","2029.69","2020.86","356590.0","3051026.0","1.306848288E9"
"2016/12/27","2042.17","4.42","0.22","2040.74","2044.43","2037.12","384033.0","3095682.0","1.318586364E9"
"2016/12/26","2037.75","1.85","0.09","2038.33","2039.76","2034.80","366636.0","3036259.0","1.315023861E9"
"2016/12/23","2035.90","0.17","0.01","2036.17","2037.71","2031.54","310882.0","3200601.0","1.313648968E9"
"2016/12/22","2035.73","-2.23","-0.11","2041.61","2042.90","2033.99","275096.0","3256421.0","1.313850178E9"
"2016/12/21","2037.96","-3.98","-0.19","2049.47","2053.46","2037.96","284570.0","3384380.0","1.31547544E9"
"2016/12/20","2041.94","3.55","0.17","2044.87","2047.38","2040.81","314221.0","3174669.0","1.317982199E9"
"2016/12/19","2038.39","-3.85","-0.19","2039.40","2046.03","2037.04","249870.0","2976699.0","1.31558442E9"
"2016/12/16","2042.24","5.59","0.27","2037.35","2043.60","2033.23","289708.0","3944177.0","1.317717852E9"
"2016/12/15","2036.65","-0.22","-0.01","2022.14","2040.62","2021.76","300190.0","3290969.0","1.313287751E9"
"2016/12/14","2036.87","0.89","0.04","2043.07","2044.42","2031.18","384033.0","3392828.0","1.31364123E9"
"2016/12/13","2035.98","8.74","0.43","2026.39","2035.99","2023.61","383364.0","4220712.0","1.310751171E9"
"2016/12/12","2027.24","2.55","0.13","2031.95","2031.95","2020.97","289804.0","3691817.0","1.305031707E9"
"2016/12/09","2024.69","-6.38","-0.31","2024.52","2026.83","2019.79","225657.0","3813856.0","1.304217187E9"
"2016/12/08","2031.07","39.18","1.97","2008.31","2031.07","2007.57","239429.0","4956346.0","1.307883233E9"
"2016/12/07","1991.89","2.03","0.10","1995.69","1997.62","1987.26","204410.0","3659556.0","1.283622932E9"
"2016/12/06","1989.86","26.50","1.35","1976.51","1993.47","1976.51","214649.0","3794721.0","1.282306755E9"
"2016/12/05","1963.36","-7.25","-0.37","1965.71","1971.24","1960.65","237190.0","3071610.0","1.264882579E9"
"2016/12/02","1970.61","-13.14","-0.66","1980.14","1981.64","1966.42","243181.0","3727863.0","1.269074669E9"
"2016/12/01","1983.75","0.27","0.01","1987.48","1989.08","1979.67","217876.0","4061247.0","1.277144302E9"
"2016/11/30","1983.48","5.09","0.26","1980.38","1988.44","1977.09","233086.0","5558990.0","1.277304961E9"
"2016/11/29","1978.39","0.26","0.01","1977.10","1982.53","1972.31","214566.0","4413544.0","1.272851862E9"
"2016/11/28","1978.13","3.67","0.19","1976.58","1983.43","1966.78","213579.0","3085102.0","1.273002694E9"
"2016/11/25","1974.46","3.20","0.16","1972.60","1978.45","1969.09","201938.0","2914479.0","1.26894846E9"
"2016/11/24","1971.26","-16.69","-0.84","1985.11","1988.96","1968.50","235444.0","3547734.0","1.267210569E9"
"2016/11/23","1987.95","4.48","0.23","1987.64","1996.65","1981.22","308200.0","4690250.0","1.277393597E9"
"2016/11/22","1983.47","17.42","0.89","1976.07","1986.82","1974.05","231368.0","3941980.0","1.276043793E9"
"2016/11/21","1966.05","-8.53","-0.43","1971.03","1976.23","1962.42","223513.0","3501443.0","1.26462046E9"
"2016/11/18","1974.58","-5.97","-0.30","1983.07","1983.26","1968.13","306957.0","4742247.0","1.26998991E9"
"2016/11/17","1980.55","0.90","0.05","1976.21","1983.87","1968.80","272172.0","3539362.0","1.270111146E9"
"2016/11/16","1979.65","12.12","0.62","1980.82","1985.67","1976.63","306500.0","4655274.0","1.269224972E9"
"2016/11/15","1967.53","-6.87","-0.35","1977.33","1978.94","1967.21","375663.0","5095586.0","1.261206252E9"
"2016/11/14","1974.40","-10.03","-0.51","1982.93","1988.65","1974.27","352117.0","5099798.0","1.265674765E9"
"2016/11/11","1984.43","-18.17","-0.91","1988.87","1994.05","1982.15","386856.0","6718928.0","1.272531403E9"
"2016/11/10","2002.60","44.22","2.26","1989.85","2002.60","1983.26","433885.0","7012811.0","1.284724724E9"
"2016/11/09","1958.38","-45.00","-2.25","2008.08","2015.23","1931.07","709043.0","7431310.0","1.247481566E9"
"2016/11/08","2003.38","5.80","0.29","2009.56","2010.17","1994.33","239579.0","3238824.0","1.27601395E9"
"2016/11/07","1997.58","15.56","0.79","1997.58","2001.74","1992.14","210334.0","3131548.0","1.27237347E9"
"2016/11/04","1982.02","-1.78","-0.09","1983.87","1985.29","1976.57","227776.0","3112409.0","1.262607502E9"
"2016/11/03","1983.80","4.86","0.25","1974.93","1988.82","1973.58","272728.0","3780779.0","1.263454855E9"
"2016/11/02","1978.94","-28.45","-1.42","1995.41","1997.46","1976.34","333530.0","4404094.0","1.260996821E9"
"2016/11/01","2007.39","-0.80","-0.04","2003.41","2010.51","1990.45","321775.0","4462622.0","1.278978193E9"
"2016/10/31","2008.19","-11.23","-0.56","2011.29","2016.01","2005.95","400665.0","4365769.0","1.279754773E9"
"2016/10/28","2019.42","-4.70","-0.23","2021.97","2026.85","2015.72","270531.0","4245554.0","1.286551479E9"
"2016/10/27","2024.12","10.23","0.51","2018.24","2026.33","2015.66","298691.0","4901199.0","1.288971635E9"
"2016/10/26","2013.89","-23.28","-1.14","2030.37","2030.37","2002.29","392402.0","4750669.0","1.282232415E9"
"2016/10/25","2037.17","-10.57","-0.52","2042.29","2042.65","2031.25","299102.0","4966045.0","1.296930773E9"
"2016/10/24","2047.74","14.74","0.73","2037.19","2047.74","2036.77","252041.0","3588033.0","1.303635039E9"
