일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2018/12/28","2041.04","12.60","0.62","2036.70","2046.97","2035.41","352678.0","4120696.0","1.343971858E9"
"2018/12/27","2028.44","0.43","0.02","2032.09","2035.57","2021.39","398021.0","5351004.0","1.335555862E9"
"2018/12/26","2028.01","-27.00","-1.31","2028.81","2037.83","2014.28","321499.0","5424078.0","1.336757289E9"
"2018/12/24","2055.01","-6.48","-0.31","2050.38","2059.94","2046.18","285275.0","3843849.0","1.352900456E9"
"2018/12/21","2061.49","1.37","0.07","2052.70","2061.51","2049.76","311389.0","5492538.0","1.357352795E9"
"2018/12/20","2060.12","-18.72","-0.90","2063.70","2071.08","2047.52","421065.0","5483090.0","1.356169266E9"
"2018/12/19","2078.84","16.73","0.81","2068.95","2080.65","2063.01","418797.0","5124895.0","1.368928571E9"
"2018/12/18","2062.11","-8.98","-0.43","2057.39","2074.31","2054.26","429530.0","5241610.0","1.358110563E9"
"2018/12/17","2071.09","1.71","0.08","2071.21","2075.93","2065.51","444522.0","4764477.0","1.363331838E9"
"2018/12/14","2069.38","-26.17","-1.25","2095.64","2095.64","2061.40","448238.0","5784242.0","1.362231208E9"
"2018/12/13","2095.55","12.98","0.62","2087.43","2104.43","2084.37","379819.0","7941966.0","1.379759768E9"
"2018/12/12","2082.57","29.60","1.44","2062.77","2084.77","2061.13","457127.0","5613049.0","1.371559154E9"
"2018/12/11","2052.97","-0.82","-0.04","2058.16","2060.94","2047.17","273933.0","5020322.0","1.37334257E9"
"2018/12/10","2053.79","-21.97","-1.06","2048.45","2061.78","2043.21","344164.0","4697529.0","1.373936929E9"
"2018/12/07","2075.76","7.07","0.34","2081.68","2086.84","2065.62","371591.0","4318800.0","1.38903461E9"
"2018/12/06","2068.69","-32.62","-1.55","2094.62","2094.62","2064.00","537410.0","5606457.0","1.383505179E9"
"2018/12/05","2101.31","-13.04","-0.62","2086.57","2107.69","2086.57","492716.0","4802793.0","1.405505402E9"
"2018/12/04","2114.35","-17.58","-0.82","2125.67","2128.94","2105.45","507518.0","5539553.0","1.414637237E9"
"2018/12/03","2131.93","35.07","1.67","2127.78","2136.64","2113.60","436588.0","5571246.0","1.427528843E9"
"2018/11/30","2096.86","-17.24","-0.82","2116.83","2122.33","2093.83","427355.0","7316751.0","1.403482458E9"
"2018/11/29","2114.10","5.88","0.28","2133.95","2136.74","2108.90","307230.0","5304159.0","1.414953064E9"
