일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2006/12/28","1434.46","9.36","0.66","1433.63","1437.48","1425.84","160604.0","1968110.0","7.04587508E8"
"2006/12/27","1425.10","-8.82","-0.62","1426.80","1429.84","1418.77","175940.0","1809361.0","7.00019219E8"
"2006/12/26","1433.92","-3.57","-0.25","1434.58","1441.21","1422.37","218666.0","2585669.0","7.03945999E8"
"2006/12/22","1437.49","1.02","0.07","1432.03","1439.27","1432.03","218349.0","2578280.0","7.05211497E8"
"2006/12/21","1436.47","-5.81","-0.40","1444.41","1445.51","1434.47","193026.0","2626650.0","7.04793346E8"
"2006/12/20","1442.28","14.52","1.02","1429.77","1445.50","1429.77","240499.0","3007920.0","7.07660085E8"
"2006/12/19","1427.76","-5.47","-0.38","1431.07","1436.40","1425.60","215449.0","2608340.0","7.00542763E8"
"2006/12/18","1433.23","11.36","0.80","1427.14","1437.64","1427.14","244629.0","2778671.0","7.03183929E8"
"2006/12/15","1421.87","3.49","0.25","1418.53","1425.78","1412.17","319548.0","2961186.0","6.97706914E8"
"2006/12/14","1418.38","35.10","2.54","1385.50","1418.38","1376.87","250160.0","4610445.0","6.96108371E8"
"2006/12/13","1383.28","6.30","0.46","1375.31","1386.69","1373.52","186913.0","2537772.0","6.79139385E8"
"2006/12/12","1376.98","-13.75","-0.99","1392.22","1392.90","1373.03","195342.0","2536232.0","6.75992947E8"
"2006/12/11","1390.73","0.30","0.02","1390.26","1396.15","1389.65","213260.0","2258526.0","6.82385019E8"
"2006/12/08","1390.43","-19.87","-1.41","1400.98","1400.98","1386.26","221669.0","2922814.0","6.82328741E8"
"2006/12/07","1410.30","-3.43","-0.24","1411.73","1416.13","1407.66","237407.0","2843977.0","6.92104217E8"
"2006/12/06","1413.73","-6.86","-0.48","1422.75","1423.07","1399.68","237546.0","2972861.0","6.93957731E8"
"2006/12/05","1420.59","-5.87","-0.41","1432.97","1436.69","1420.40","300827.0","3847660.0","6.97560722E8"
