일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
"2012/12/28","1997.05","9.70","0.49","1984.84","2002.67","1984.84","302927.0","3299123.0","1.154294167E9"
"2012/12/27","1987.35","5.10","0.26","1979.46","1987.91","1971.53","376071.0","3065826.0","1.148494546E9"
"2012/12/26","1982.25","0.43","0.02","1992.10","2000.92","1982.25","457994.0","3618714.0","1.145745523E9"
"2012/12/24","1981.82","1.40","0.07","1984.18","1985.57","1977.00","348173.0","3245615.0","1.145532207E9"
"2012/12/21","1980.42","-19.08","-0.95","2004.61","2004.67","1976.09","553671.0","5362182.0","1.144544275E9"
"2012/12/20","1999.50","6.41","0.32","2002.11","2006.08","1991.81","421934.0","5537023.0","1.155383532E9"
"2012/12/18","1993.09","10.02","0.51","1990.72","1993.09","1979.22","454272.0","4642140.0","1.151887181E9"
"2012/12/17","1983.07","-11.97","-0.60","1993.18","1999.38","1981.13","366678.0","4300934.0","1.14596717E9"
"2012/12/14","1995.04","-7.73","-0.39","1989.42","1999.65","1985.19","350497.0","4319652.0","1.153466792E9"
"2012/12/13","2002.77","27.33","1.38","1976.18","2002.78","1976.18","421460.0","6047125.0","1.157693818E9"
"2012/12/12","1975.44","10.82","0.55","1972.33","1975.44","1966.91","459715.0","4705026.0","1.142000638E9"
"2012/12/11","1964.62","7.20","0.37","1962.52","1965.68","1956.75","404828.0","4558816.0","1.136101079E9"
"2012/12/10","1957.42","-0.03","0.00","1965.71","1970.19","1955.39","367566.0","3692643.0","1.132069724E9"
"2012/12/07","1957.45","7.83","0.40","1953.17","1963.06","1952.83","413446.0","4411713.0","1.131804752E9"
"2012/12/06","1949.62","2.58","0.13","1948.55","1955.07","1946.03","345317.0","4687785.0","1.127456895E9"
"2012/12/05","1947.04","11.86","0.61","1933.45","1949.70","1930.15","492576.0","4149400.0","1.126088698E9"
"2012/12/04","1935.18","-4.84","-0.25","1932.66","1938.28","1928.09","294802.0","2930092.0","1.119033437E9"
"2012/12/03","1940.02","7.12","0.37","1937.28","1944.75","1933.67","314888.0","3391220.0","1.121725229E9"
"2012/11/30","1932.90","-1.95","-0.10","1932.71","1941.84","1927.98","337273.0","4537196.0","1.117290216E9"
"2012/11/29","1934.85","22.07","1.15","1922.86","1935.10","1922.51","388791.0","4855980.0","1.118739859E9"
"2012/11/28","1912.78","-12.42","-0.65","1916.31","1916.76","1906.20","408908.0","3910524.0","1.105847799E9"
"2012/11/27","1925.20","16.69","0.87","1917.14","1930.24","1913.97","588282.0","4818489.0","1.112984465E9"
"2012/11/26","1908.51","-2.82","-0.15","1918.01","1918.11","1905.95","276752.0","3232184.0","1.103415433E9"
"2012/11/23","1911.33","11.83","0.62","1901.73","1911.33","1894.58","329951.0","3590899.0","1.105199098E9"
"2012/11/22","1899.50","15.46","0.82","1894.66","1903.27","1893.18","412817.0","3761087.0","1.098233012E9"
"2012/11/21","1884.04","-6.14","-0.32","1895.72","1899.60","1878.25","380800.0","4006652.0","1.089264066E9"
"2012/11/20","1890.18","12.08","0.64","1896.58","1897.56","1886.34","372346.0","3720393.0","1.092541549E9"
"2012/11/19","1878.10","17.27","0.93","1869.76","1884.11","1869.23","349357.0","3257143.0","1.085323855E9"
"2012/11/16","1860.83","-9.89","-0.53","1865.81","1872.69","1856.81","465049.0","4059171.0","1.075506875E9"
"2012/11/15","1870.72","-23.32","-1.23","1870.29","1875.49","1859.79","450853.0","4184445.0","1.081106218E9"
"2012/11/14","1894.04","4.34","0.23","1891.45","1895.48","1880.61","533942.0","4761323.0","1.094739528E9"
"2012/11/13","1889.70","-11.17","-0.59","1904.19","1904.97","1881.85","494880.0","3925921.0","1.091947201E9"
"2012/11/12","1900.87","-3.54","-0.19","1899.30","1903.81","1892.68","473261.0","3779624.0","1.098188004E9"
"2012/11/09","1904.41","-10.00","-0.52","1893.09","1907.57","1879.06","636226.0","4801897.0","1.100225445E9"
"2012/11/08","1914.41","-23.14","-1.19","1912.64","1918.69","1905.62","659652.0","5391310.0","1.104987667E9"
"2012/11/07","1937.55","9.38","0.49","1933.79","1937.55","1916.81","556715.0","4679606.0","1.11804398E9"
"2012/11/06","1928.17","19.95","1.05","1911.83","1928.17","1908.49","545831.0","4572507.0","1.112593988E9"
"2012/11/05","1908.22","-10.50","-0.55","1905.46","1914.38","1903.32","343426.0","4609926.0","1.101072181E9"
"2012/11/02","1918.72","20.28","1.07","1920.55","1921.98","1915.11","441214.0","5579978.0","1.107339107E9"
"2012/11/01","1898.44","-13.62","-0.71","1903.57","1904.99","1887.56","402382.0","5289641.0","1.095728662E9"
"2012/10/31","1912.06","12.48","0.66","1912.83","1918.40","1909.08","397246.0","3834393.0","1.103576637E9"
"2012/10/30","1899.58","8.06","0.43","1894.05","1913.52","1893.75","334133.0","3451550.0","1.096593774E9"
